renewal_date,status,SAID,Chan.Prof
20130501,Loss,107044610306,Direct
20130501,Loss,107044620291,Direct
20130501,Loss,107044665767,Direct
20130501,Converted,107045138099,Direct
20130501,Loss,107045204650,Direct
20130501,Loss,107048361685,Direct
20130701,Loss,107045719590,Indirect
20130601,Loss,107045755490,Indirect
20130601,Loss,107045749176,Direct
20130601,Loss,107045735620,Direct
20130501,Loss,107046214336,Direct
20130501,Loss,107046228309,Indirect
20130501,Loss,107046243190,Direct
20130501,Loss,107046239000,Direct
20130601,Converted,107046239307,Direct
20130601,Loss,107046380201,Direct
20130601,Converted,107046398359,Direct
20130601,Converted,107046400702,Indirect
20130601,Converted,107046875500,Direct
20130601,Loss,107046867707,Indirect
20130501,Loss,107046886679,Direct
20130601,Loss,107047507974,Direct
20130501,Loss,107047649020,Direct
20130501,Loss,107047656177,Direct
20130501,Loss,107048044708,Direct
20130601,Loss,107048102469,Direct
20130601,Converted,107048111451,Direct
